日期,窗口,计划购电量_kWh,调整购电量_kWh,净调整_kWh,上调_kWh,下调_kWh,紧急购电量_kWh
2025-02-01,0:00-6:00,23804.691399999996,23804.691399999996,0.0,0.0,0.0,0.0
2025-02-01,6:00-12:00,293.9757,293.9757,0.0,0.0,0.0,0.0
2025-02-01,12:00-18:00,7829.252,7829.252,0.0,0.0,0.0,0.0
2025-02-01,18:00-24:00,14034.6269,14034.6269,0.0,0.0,0.0,552.9256
2025-02-02,0:00-6:00,29999.998799999994,29999.998799999994,0.0,0.0,0.0,0.0
2025-02-02,6:00-12:00,17030.0508,17030.0508,0.0,0.0,0.0,0.0
2025-02-02,12:00-18:00,21627.316799999997,21627.316799999997,0.0,0.0,0.0,0.0
2025-02-02,18:00-24:00,22108.550999999992,22108.550999999992,0.0,0.0,0.0,0.0
2025-02-03,0:00-6:00,29999.998799999994,29999.998799999994,0.0,0.0,0.0,0.0
2025-02-03,6:00-12:00,18121.084799999997,18121.084799999997,0.0,0.0,0.0,0.0
2025-02-03,12:00-18:00,22805.207099999996,22805.207099999996,0.0,0.0,0.0,0.0
2025-02-03,18:00-24:00,22045.794599999994,22045.794599999994,0.0,0.0,0.0,0.0
2025-02-04,0:00-6:00,29999.998799999994,29999.998799999994,0.0,0.0,0.0,0.0
2025-02-04,6:00-12:00,18288.1795,18290.440599999998,2.261099999999999,2.261099999999999,0.0,0.0
2025-02-04,12:00-18:00,24346.349099999996,24346.349099999996,0.0,0.0,0.0,0.0
2025-02-04,18:00-24:00,22182.574199999995,22182.574199999995,0.0,0.0,0.0,0.0
2025-02-05,0:00-6:00,29999.998799999994,29999.998799999994,0.0,0.0,0.0,0.0
2025-02-05,6:00-12:00,16519.5186,17263.583099999996,744.0645000000001,744.0645000000001,0.0,0.0
2025-02-05,12:00-18:00,21466.084899999994,21466.084899999994,0.0,0.0,0.0,0.0
2025-02-05,18:00-24:00,21953.772699999994,21953.772699999994,0.0,0.0,0.0,0.0
2025-02-06,0:00-6:00,29999.998799999994,29999.998799999994,0.0,0.0,0.0,0.0
2025-02-06,6:00-12:00,18702.685899999997,18702.685899999997,0.0,0.0,0.0,0.0
2025-02-06,12:00-18:00,24437.647199999996,24437.647199999996,0.0,0.0,0.0,0.0
2025-02-06,18:00-24:00,22041.138299999995,22041.138299999995,0.0,0.0,0.0,0.0
2025-02-07,0:00-6:00,23967.2676,24089.572399999997,122.3048,122.3048,0.0,0.0
2025-02-07,6:00-12:00,462.6791,462.6791,0.0,0.0,0.0,0.0
2025-02-07,12:00-18:00,7870.871799999999,7870.871799999999,0.0,0.0,0.0,0.0
2025-02-07,18:00-24:00,13585.087500000001,13585.087500000001,0.0,0.0,0.0,122.6576
2025-02-08,0:00-6:00,21435.762299999995,21435.762299999995,0.0,0.0,0.0,0.0
2025-02-08,6:00-12:00,0.0,0.0,0.0,0.0,0.0,23.4725
